index,Player,Club,Goals
234,Robert Pirès,Villarreal CF,1
235,David Villa,Valencia CF,6
236,David Villa,FC Barcelona,8
237,Zinédine Zidane,Juventus,5
238,Zinédine Zidane,Real Madrid CF,9
239,Dimitar Berbatov,Bayer 04 Leverkusen,7
240,Dimitar Berbatov,Manchester United FC,5
241,Dimitar Berbatov,AS Monaco FC,1
242,Kingsley Coman,Juventus,0
243,Kingsley Coman,FC Bayern München,13
244,Peter Crouch,Liverpool FC,9
245,Peter Crouch,Tottenham Hotspur,4
246,Sonny Anderson,FC Barcelona,4
247,Sonny Anderson,Olympique Lyonnais,9
248,Deco,FC Porto,7
249,Deco,FC Barcelona,6
250,Carsten Jancker,FC Bayern München,13
251,Jan Koller,RSC Anderlecht,3
252,Jan Koller,Borussia Dortmund,10
253,Fredrik Ljungberg,Arsenal FC,13
254,Jackson Martínez,FC Porto,12
255,Jackson Martínez,Club Atlético de Madrid,1
256,Lukas Podolski,FC Bayern München,3
257,Lukas Podolski,Arsenal FC,8
258,Lukas Podolski,Galatasaray AŞ,2
259,Alexis Sánchez,FC Barcelona,3
260,Alexis Sánchez,Arsenal FC,9
261,Alexis Sánchez,Manchester United FC,0
262,Alexis Sánchez,FC Internazionale Milano,1
263,Hakan Şükür,Galatasaray AŞ,13
264,Carlos Tévez,Manchester United FC,6
265,Carlos Tévez,Juventus,7
266,Burak Yılmaz,Galatasaray AŞ,10
267,Burak Yılmaz,LOSC Lille,3
268,Dani Alves,Sevilla FC,2
269,Dani Alves,FC Barcelona,5
270,Dani Alves,Juventus,3
271,Dani Alves,Paris Saint-Germain,2
272,Philippe Coutinho,Liverpool FC,5
273,Philippe Coutinho,FC Bayern München,3
274,Philippe Coutinho,FC Barcelona,4
275,Kevin De Bruyne,Manchester City FC,12
276,Luis Díaz,FC Porto,4
277,Luis Díaz,Liverpool FC,2
278,Radamel Falcao,FC Porto,4
279,Radamel Falcao,Chelsea FC,0
280,Radamel Falcao,AS Monaco FC,8
281,Radamel Falcao,Galatasaray AŞ,0
282,Serge Gnabry,FC Bayern München,12
